,time,depth,latitude,longitude,temperature_an,salinity_an,oxygenSat_an,oxygenSat_ma,disOxygen_an,disOxygen_an_ORIGINAL
0,UTC,m,degrees_north,degrees_east,degree_C,PSS-78,1,1,ml/l,ml/l
1,0000-01-16T00:00:00Z,0,44.5,-61.5,0.1369,31.0269,97.5271,-3.2412,344.7695217,7.7197
2,0000-02-16T00:00:00Z,0,44.5,-61.5,-0.8215,31.2163,101.1908,0.4224,365.3850393,8.1813
3,0000-03-16T00:00:00Z,0,44.5,-61.5,-0.9837,31.323,106.3218,5.5535,391.498326,8.766
4,0000-04-16T00:00:00Z,0,44.5,-61.5,-0.0696,31.3611,101.8371,1.0688,355.5640854,7.9614
5,0000-05-16T00:00:00Z,0,44.5,-61.5,2.7282,31.2577,104.9199,4.1516,350.812155,7.855
6,0000-06-16T00:00:00Z,0,44.5,-61.5,7.0018,31.009,105.8036,5.0353,317.4325236,7.1076
7,0000-07-16T00:00:00Z,0,44.5,-61.5,13.6511,30.5951,102.3666,1.5983,257.8056225,5.7725
8,0000-08-16T00:00:00Z,0,44.5,-61.5,16.7527,30.2962,101.5139,0.7456,246.2786184,5.5144
9,0000-09-16T00:00:00Z,0,44.5,-61.5,15.7123,30.1864,100.7191,-0.0492,253.7236071,5.6811
10,0000-10-16T00:00:00Z,0,44.5,-61.5,11.8088,30.2068,101.5212,0.7528,283.8787143,6.3563
11,0000-11-16T00:00:00Z,0,44.5,-61.5,7.7217,30.4479,95.7071,-5.0612,292.9270329,6.5589
12,0000-12-16T00:00:00Z,0,44.5,-61.5,4.0158,30.6301,89.7917,-10.9767,298.1970309,6.6769
